annee,code,libelle
2025/2026,CALTOPME4,Calculs topométriques IV
2025/2026,CAOGENELC,CAO EN GENIE ELECTRIQUE
2025/2026,CAPACTBUS,"Capteurs,actionneurs et systèmes de bus de données"
2025/2026,CAREINSUR,Care in Surgery
2025/2026,CAREMEDEC,Care in Medecine
2025/2026,CAREPEDIAT,Care in Pediatric
2025/2026,CARGOHAND,Cargo handling
2025/2026,CARNEWBOR,Care of new born
2025/2026,CARRIALAW,Carriage law 
2025/2026,CARTOGRA1,Cartographie I
2025/2026,CARTOGRA2,Cartographie II
2025/2026,CBC3,CBC3-Communication for behavior change
2025/2026,CCC,CCC
2025/2026,CCHEMATOL,CC hématologie
2025/2026,CCNA1,Ccna 1
2025/2026,CELLBIOLO,Cell Biology
2025/2026,CFAO,Cfao
2025/2026,CGBASEANG,Connaissances générales de base Anglais
2025/2026,CGBASEFRA,Connaissances générales de base Français
2025/2026,CHEMISTRY,Chemistry
2025/2026,CHIDCARE,Chid Care
2025/2026,CHIMAPPLI,Chimie Appliquée 
2025/2026,CHIMATPRO,"Chimie,sciences matériaux et processus fabrication"
2025/2026,CHIMIANAL,Chimie analytique
2025/2026,CHIMIE,Chimie
2025/2026,CHIMIE1,Chimie 1
2025/2026,CHIMIEGEN,Chimie generale
2025/2026,CHIMIETEX,Chimie du textile
2025/2026,CHIMORGAN,Chimie organique 
2025/2026,CIRELECTR,Circuits électriques
2025/2026,CIRLOGIQ1,Circuits logiques I
2025/2026,CIRLOGIQ2,Circuits logiques II
2025/2026,CIVMOREDU,Civic and moral education
2025/2026,CLIBIOCHE1,Clinical Biochemistry 1
2025/2026,CLIBIOCHE2,Clinical Biochemistry 2
2025/2026,CLIMAVENT,CLIMATISATION ET VENTILLATION
2025/2026,CLINBACTE,Clinical Bacteriology 3
2025/2026,CLINEXPER,Clinical experience
2025/2026,CLINHEMA1,Clinical hematology 1
2025/2026,CLINHEMA2,Clinical hematology 2
2025/2026,CLINHEMA3,Clinical hematology 3
2025/2026,CLININTE1,Clinical Internship 1
2025/2026,CLININTE2,Clinical Internship 2
2025/2026,CLININTER,Clinical Internship 5
2025/2026,CLINPARA2,Clinical Parasitology 2
2025/2026,CLINPARA3,Clinical Parasitology 3
2025/2026,CLINPATHO,Clinical Parasitology 1
2025/2026,CLINPHARMA,Clinical Pharmacololy
2025/2026,CMPSCIENS,Computer Science II
2025/2026,COMAIDMA1,Computer Aided Manufacturing I
2025/2026,COMAIDMA2,Computer Aided Manufacturing II
2025/2026,COMANABU2,Comptabilité analytique et gestion budgétaire II
2025/2026,COMANABUD,Comptabilité analytique et gestion budgétaire
2025/2026,COMASSAC1,Computer Assisted Accounting I
2025/2026,COMASSAC2,Computer Assisted Accounting II
2025/2026,COMCHACO3,CCC3 - Communication changement comportement III
2025/2026,COMDEVPT,Communication pour le développement 
2025/2026,COMDONNEE,Communication de données
2025/2026,COMMUBEH2,Communication for behavior change2
2025/2026,COMMUNICA,CAM II
2025/2026,COMMUNITY,Community Health
2025/2026,COMPECOMM,Compétences En Communication
2025/2026,COMPROIN1,Commande de processus industriels I
2025/2026,COMPROIN2,Commande de processus industriels II
2025/2026,COMPSCIEN,Computer Science I
2025/2026,COMPTAANA,Comptabilité analytique
2025/2026,COMPTABIL,Comptabilité
2025/2026,COMPTAGE1,Comptabilité générale I
2025/2026,COMPTAGE2,Comptabilité générale II 
2025/2026,COMPTAGEN,Comptabilité Générale
2025/2026,COMPUBUS1,Computer for Business I
2025/2026,COMPUBUS2,Computer for Business II
2025/2026,COMPUPROG,Computer Programming
2025/2026,COMPUTRAI,Computer training
2025/2026,COMUNMOD1,Communication de mode I 
2025/2026,COMUNNICA,English Communication
2025/2026,CONDMANU1,Conditionnement et manutention I 
2025/2026,CONDMANU2,Conditionnement et manutention II 
2025/2026,CONGENRES,Concept généraux des réseaux (réseaux NGN)
2025/2026,CONGENSYS,Concepts Generaux Des Systèmes D’Information
2025/2026,CONSMECA1,Construction Mecanique I
2025/2026,CONSMECA2,Construction Mecanique II
2025/2026,CONSTDESI,Construction Design
2025/2026,CONSTSOC1,Constitution des sociétés I
2025/2026,CONSTSOC2,Constitution des sociétés II
2025/2026,CONTALIME,Contrôle des aliments 
2025/2026,CONTHENUR,Concepts and theories in nursing profesion
2025/2026,CONTHESCI,Concept et théorie et science infirmière 
2025/2026,COTREXTES,"Collecte, traitement et Exploitation Technique des statistiques"
2025/2026,COUCPLET1,Coûts complets I
2025/2026,COUCPLET2,Coûts complets II
2025/2026,COUPARSE1,Coûts partiels et seuil de rentabilité I  
2025/2026,COUPARSE2,Coûts partiels et seuil de rentabilité II
2025/2026,CPTASSOR1,Comptabilité assistée par l’ordinateur I
2025/2026,CPTASSOR2,Comptabilité assistée par ordinateur II  
2025/2026,CREATENTR,Création d’entreprise
2025/2026,CUBAGRUME,Cubage des grumes 
2025/2026,CYCLDEVIE,Cycle de vie 
2025/2026,CYTOHUMAI,Cytologie humaine 
2025/2026,DAILYOPE1,Daily Operations I
2025/2026,DAILYOPE2,Daily Operations II
2025/2026,DATACOMMU,Data Communication
2025/2026,DAVRESPRO,Drafting of the research project
2025/2026,DEMARSOIN,Demarche de Soins 
2025/2026,DEMCREAT1,Démarche créative I
2025/2026,DEMCREAT2,Démarche créative II
2025/2026,DEMGRAPHY,DEMOGRAPHY
2025/2026,DEMOGRAPH,Démographie
2025/2026,DESASSOR1,Dessin assisté par ordinateur I (DAO)
2025/2026,DESASSOR2,Dessin assisté par ordinateur II
2025/2026,DESASSORD,Dessin assisté par ordinateur
2025/2026,DESGENDAO,Dessin Du Genie Civil Et Dao
2025/2026,DESGRAPH1,Design graphique I
2025/2026,DESGRAPH2,Design graphique II
2025/2026,DESGRAPH3,Design graphique III
2025/2026,DESGRAPH4,Design graphique IV
2025/2026,DESIGNTEC,Design and technology
2025/2026,DESSIBASE,Dessin de Base
2025/2026,DESSINMEC,Dessin mécanique
2025/2026,DESSINSTY,Dessin style I 
2025/2026,DESSINTE1,Dessin technique I
2025/2026,DESSINTE2,Dessin technique II
2025/2026,DESSINTEC,Dessin technique
2025/2026,DESTEC1SI,Dessin technique I et Système d’information
2025/2026,DESTEC2GD,Dessin technique II et géométrie descriptive
2025/2026,DESTECBAT,Dessin et technologie de bâtiment
2025/2026,DEVELDURA,Developpement Durable
2025/2026,DEVELOWEB,Developpement Web
2025/2026,DEVVEHAUT,Développement du véhicule automobile
2025/2026,DIAANTMED,Diagnostic Anténatal Et Médecine Fœtale
2025/2026,DIAGNOAUT,Diagnostiques automobile et TPs
2025/2026,DIETETIQU,Diététique 
2025/2026,DIGELEPOW,Practical work Digital electronics & power control
2025/2026,DISENEELE,Distribution de l’énergie électrique 
2025/2026,DISSOSOC1,Dissolution des sociétés I  
2025/2026,DISSOSOC2,Dissolution des sociétés II
2025/2026,DOMOTIQU1,Domotique I
2025/2026,DROIETLEG,Droit Et Législation
2025/2026,DROIHUMAI,Droits humains 
2025/2026,DROITCIVI,Droit civil
2025/2026,DROITTRAV,Droit du travail
2025/2026,DROPROINT,Droit de la propriété intellectuelle   
2025/2026,DROSOCCO1,Droit des sociétés commerciales I
2025/2026,DROSOCCO2,Droit des sociétés commerciales II
2025/2026,ECOBUSORG,Economy and business organization
2025/2026,ECONHEALT,The economics of health
2025/2026,ECONOGENE,Economie générale
2025/2026,ECONOMICS,Economics
2025/2026,ECONOMIE,Economie
2025/2026,ECONOSANT,Economie de la santé
2025/2026,ECOORGENT,Economie et Organisation des Entreprises
2025/2026,EDUCIVETH,Education civique et éthique
2025/2026,EDUCSANTE,Éducation pour la santé 
2025/2026,EDUVIEFAM,Éducation à la vie familiale 
2025/2026,ELAPLAMAI,Elaborer plan de maintenance preventive équipement frigorifique monoposte ou thermodynamique
2025/2026,ELCTRONI3,Electronique 3
2025/2026,ELEBASLO1,Elément de Base de la Logistique I 
2025/2026,ELEBASLO2,Elément de base de la logistique II 
2025/2026,ELECIRCUI,Electrical circuits
2025/2026,ELECNUME1,Electronique numérique I
2025/2026,ELECNUME2,Electronique numériques II
2025/2026,ELECTANA1,Electronique Analogique 1
2025/2026,ELECTANA2,Electronique Analogique 2
2025/2026,ELECTANAL,Electronique Analogique
2025/2026,ELECTECH1,Electrotechnique I
2025/2026,ELECTECH2,Electrotechnique II
2025/2026,ELECTECHN,Electrotechnique
2025/2026,ELECTGENE,Electricité générale 
2025/2026,ELECTR2PW,Electronics II and Practical Works
2025/2026,ELECTRCON,Electronics construction
2025/2026,ELECTRGEN,Electronique générale 
2025/2026,ELECTROB1,Electronique de base I
2025/2026,ELECTROB2,Electronique de base II
2025/2026,ELECTROEG,Electronique I et Electricité générale
2025/2026,ELECTROFO,Electronique des fonctions
2025/2026,ELECTROGP,Electronique grand public
2025/2026,ELECTROME,Electronique et mesure
2025/2026,ELECTRONA1,Electronics I
2025/2026,ELECTRONA2,Electronics II
2025/2026,ELECTRONA3,Electronics III + TP
2025/2026,ELECTRONF1,Electronique 1
2025/2026,ELECTRONF2,Electronique 2
2025/2026,ELECTRONF3,Electronique 3
2025/2026,ELECTRONI,Electronics
2025/2026,ELECTROPU1,Electronique de puissance I
2025/2026,ELECTROPU2,Electronique de puissance II
2025/2026,ELEHEAWOR,Elements of health at work
2025/2026,ELEINSAPP,Electrical installations and apparatus
2025/2026,ELEMACHI1,Electrical machines I
2025/2026,ELEMCHAUD,Elements De Chaudronnerie
2025/2026,ELESANTRA,Éléments de santé au travail 
2025/2026,ELESCHCOM,Electrical Schema and command
2025/2026,ELETROMAG,Electromagnétisme
2025/2026,EMBRYOLOG,Embryologie 
2025/2026,ENGIMATH1,Engineering Mathematics I
2025/2026,ENGIMATH2,Engineering Mathematics II
2025/2026,ENGIMATH3,Engineering Mathematics III
2025/2026,ENGIMATH4,Engineering Mathematics IV
2025/2026,ENGISOCIE,Engineer in the Society
2025/2026,ENGLISH,English
2025/2026,ENNOBLIS1,Ennoblissement I
2025/2026,ENNOBLIS2,Ennoblissement II
2025/2026,ENNOBLIS3,Ennoblissement III
2025/2026,ENTEREPAR,Entretien et reparation 
2025/2026,ENTOMEDIC,Entomologie médicale 
2025/2026,ENTOMOL2,Entomologie
2025/2026,ENTPRENSH,Entrepreneurship
2025/2026,ENTREPREN,Entreprenariat
2025/2026,ENTREPSHI,Enterpreneuriatship
2025/2026,ENVIENGIN,Environmental Engineering
2025/2026,ENVIJURID,Environnement juridique
2025/2026,ENVIRHEAL,Environnemental Health
2025/2026,ENVMICORD,Environnement Micro-ordinateur
2025/2026,EPIDEMIO1,Epidémiologie
2025/2026,EPIDEMIOL,EPIDEMIOLOGY 
2025/2026,EQUADIFFE,Equations différentielles
2025/2026,EQUDERPAI,Equation Aux Derivees Partielles Pour Ingenieur
2025/2026,EQUDERPAR,Equation Aux Derivees Partielles
2025/2026,EQUIBATIM,Equipement du bâtiment
2025/2026,ESSAILABO,Essais en laboratoire
2025/2026,ESTPHIART,Esthétique et philosophie de l’art
2025/2026,ETHCIVEDU,Ethics and Civic education
2025/2026,ETHDEOMED,Éthique et déontologie médicale 
2025/2026,ETHIQDEON,Ethique et déonthologie
2025/2026,ETHMEDDEO,Ethics and medical deontology
2025/2026,ETUDEPRIX,Etude de prix
2025/2026,EXERPROFE,Exercice de la profession
2025/2026,EXPREANGL,Expression anglaise
2025/2026,EXPRECRIT,Expression écrite
2025/2026,EXPREFRAN,Expression française
2025/2026,EXPREORAL,Expression orale
2025/2026,FABRIMECA,Fabrication Mecanique
2025/2026,FILATURE,Filature
2025/2026,FINAMATH1,Financial Mathematics I
2025/2026,FINAMATH2,Financial Mathematics II
2025/2026,FIRSTAID1,first aid
2025/2026,FISCALITE1,Fiscalité 1
2025/2026,FONDPEDAG,Fondements Pédagogiques
2025/2026,FONDSOUTE,Fondations et soutènements
2025/2026,FONSOIINF,Fondamentaux Des Soins Infirmiers
2025/2026,FORMABILI,Formation bilingue
2025/2026,FRANCAIS2,Francais
2025/2026,FRANCMEDI,Francais médical
2025/2026,FRASPEINF,Français spécialisé inforgraphie
2025/2026,FREIGFORW,Freight forwarding (cargo representation)
2025/2026,FRENCH,French
2025/2026,FULLCOST1,Full Costing I
2025/2026,FULLCOST2,Full Costing II
2025/2026,FUNANAELE,Function of the analogical electronic
2025/2026,FUNCARINS,Fundamentals of Cargo Insurance
2025/2026,GENBIOCHE,General Biochemistry
2025/2026,GENECHEME,General Chemistry
2025/2026,GENECOMP1,General Computing 1
2025/2026,GENECONOM,General Economy
2025/2026,GENEMATH1,General Mathematics 1
2025/2026,GENEMATH2,General Mathematics II
2025/2026,GENERANTH,Généralités sur l’anthropologie
2025/2026,GENERCONS,General Construction
2025/2026,GENERPHAR,General Pharmacology
2025/2026,GENHYGHOS,General hygiene and hospitable
2025/2026,GENIPHARM,Genical Pharmacology
2025/2026,GENRE,Genre 
2025/2026,GENSOIAGE,Gériatrie et soins aux personnes âgées 
2025/2026,GEOAPPSON,Geophysique Appliquee Et Sondages
2025/2026,GEODESCRI,Géométrie descriptive
2025/2026,GEODESIE,Géodesie
2025/2026,GEOFUXTR1,Géographie des flux et transport des voyageurs I 
2025/2026,GEOFUXTR2,Géographie des flux et transport des voyageurs II
2025/2026,GEOINGTOP,Géologie de l’ingénieur / Topologie
2025/2026,GEOTECHN,Géotechnique
2025/2026,GEOTECHNI,Geotechnical Engineering
2025/2026,GERIANUSI,Geriatric Nursing
2025/2026,GERIARTRI,Gériartrie
2025/2026,GESAPPST1,Gestion des approvisionnements et des stocks I 
2025/2026,GESAPPST2,Gestion des approvisionnements et des stocks II 
2025/2026,GESOPECUB,Gestion des opérations et cubage 
2025/2026,GESPROINF,Gestion des projets informatiques
2025/2026,GESRISCAT,Gestion Des Risques Et Catastrophes Industrielles
2025/2026,GESTBUDG1,Gestion budgétaire I 
2025/2026,GESTBUDG2,Gestion Budgétaire II
2025/2026,GESTENTR1,Gestion des entrepôts I 
2025/2026,GESTENTR2,Gestion des entrepôts II 
2025/2026,GESTHOSPI,Gestion Hospitalieres
2025/2026,GESTPRODU,Gestion de la production
2025/2026,GESTSANTE,Gestion De La Santé
2025/2026,GOVERPOLI,Government politics
2025/2026,GPS I,GPS I
2025/2026,GPS II,GPS II
2025/2026,GROSSESSE,Grossesse 
2025/2026,GYNCOLCAR,Gynecological care
2025/2026,GYNEPATHO,Gynecological Pathologies
2025/2026,HEALMANAG,Health management
2025/2026,HEALTHDEV,Health and development
2025/2026,HEALTHWOR,Health at work
2025/2026,HEALTUTOR,Health Tutorials
2025/2026,HEMACLIN3,Hématologie clinique 3
2025/2026,HEMATCLI2,Hématologie clinique 2
2025/2026,HEMATCLIN,Hématologie clinique 1 
2025/2026,HEMATHOCL,Hémathologie clinique
2025/2026,HEMATOLOG,Hematology
2025/2026,HISPROINF,Histoire de la Profession Infirmière 
2025/2026,HISPROSAF,Histoire de la profession de la sage-femme
2025/2026,HISTOIART,Histoire de l’Art
2025/2026,HISTOLOGI,Histologie
2025/2026,HISTOPATO,Histopathologie 
2025/2026,HISTORYNU,History of nursing profession
2025/2026,HOMELECTR,Home Electronics
2025/2026,HOSPITMAN,hospital Management
2025/2026,HUMNUTPAT,Human Nutrition and pathology associated
2025/2026,HYDRAULIQ,Hydraulique
2025/2026,HYDROAPPL,Hydrologie Appliquee
2025/2026,HYGASSAIN,Hygiène et assainissement 
2025/2026,ICT,ICT
2025/2026,ICT2,ICT2
2025/2026,IEC,IEC 1
2025/2026,IEC2,Information Education Communication 2 -IEC2
2025/2026,IEC3,IEC3
2025/2026,IMAGMEDIC,Imagerie Medical
2025/2026,IMMUNOLOG,Immunology
2025/2026,IMPLEMEN3,Implementation III
2025/2026,IMPLEMENT,Implementation II
2025/2026,IMPPROSI2,Implementation Profetionnal Situation 2
2025/2026,IMPPROSI3,Implementation Profetionnal Situation 3
2025/2026,IMPPROSIT,Implementation Profetionnal Situation 1
2025/2026,IMPSURSOC,Impôt sur les sociétés  
2025/2026,INDSAFCRE,Industrial safety 1 credit
2025/2026,INDUSMAIN,Industrial maintenance
2025/2026,INDUSNETW,Industrial networks
2025/2026,INFEINFEC,Infertilité et infécondité
2025/2026,INFOPGRAP,Infographie
2025/2026,INFORAPP1,Informatique appliquée I
2025/2026,INFORAPP2,Informatique Appliquée II
2025/2026,INFORGEN1,Informatique Général 1
2025/2026,INFORGEN2,Informatique générale II
2025/2026,INFORMAT1,Informatique I
2025/2026,INFORMAT2,Informatique II
2025/2026,INFORMATI,Informatique
2025/2026,INFORMATP,TP Informatique
2025/2026,INFPARDES,Infectious and parasitic desease
2025/2026,INFPATLOC,infectious pathologies localize
2025/2026,INFTRATRA,Information transport and transmission
2025/2026,INGEBETON,Ingenierie Des Betons
2025/2026,INGMAGLAW,Ingineering Management Law and Economics
2025/2026,INITIAINF,Initiation à l’informatique
2025/2026,INITIAOP1,Initiation à l’optimisation I 
2025/2026,INITIAOP2,Initiation à l’Optimisation II 
2025/2026,INITRECHE,Initiation à la recherche
2025/2026,INITRESEA,Initiation to research
2025/2026,INSAPPSAN,Installation des appareils sanitaires
2025/2026,INSELEAPP,Installations électriques et appareillages 
2025/2026,INSEPROFE,Insertion Professionnelle
2025/2026,INSMAIMAT,Installation et Maintenance Matériels et Logiciel
2025/2026,INSRESTUY,Installation du réseau de tuyauterie
2025/2026,INSTACONG,Installation et configuration
2025/2026,INSTRUMEN,Instrumentation
2025/2026,INTANAFI1,Introduction à l’analyse financière I 
2025/2026,INTANAFI2,Introduction à l’analyse financière II
2025/2026,INTBASDON,Introduction aux Bases de Données
2025/2026,INTCLIHEA,Internship of clinical health V
2025/2026,INTDEVDUR,Introduction Au Developpement Durable
2025/2026,INTEGRWEB,Intégration web
2025/2026,INTELEMAC,Introduction aux éléments de machine
2025/2026,INTERSHIP,INTERSHIP
2025/2026,INTGENLOG,Introduction au Génie Logiciel
2025/2026,INTGESMAI,Introduction A La Gestion De La Maintenance
2025/2026,INTLOGMAN,Introduction to logistics management
2025/2026,INTMODOBJ,Introduction à la modélisation objet
2025/2026,INTPARTU2,Intra partum
2025/2026,INTRODSAV,Introduction au SAV
2025/2026,INTROTAXA,Introduction To Taxation
2025/2026,INTSECINF,Introduction a la sécurité informatique
2025/2026,INTSYSINF,Introduction au Système d’information
2025/2026,INTTRAMAN,International transport management
2025/2026,LABORLAW,Labour Law
2025/2026,LANGOFFIC,Langue officielle 1 
2025/2026,LEADESHIP,Leadership
2025/2026,LEGECOENV,Legal and Economics Environment
2025/2026,LEGIPROFE,Législation professionnelle 
2025/2026,LIFECYCLE,Life cycle
2025/2026,LOGINTER1,Logistique Internationale I 
2025/2026,LOGINTER2,Logistique Internationale II 
2025/2026,MACHCONFE,Machine de confection
2025/2026,MACHIELCT,Machine Electrique1
2025/2026,MACHIELEC,Machine Electrique 2
2025/2026,MACHTEXTI,Machines des textiles  
2025/2026,MAICOMSYS,Maintenance of complex systems
2025/2026,MAIELEENG,Maintenance in electrical Engineering
2025/2026,MAIGENELE,Maintenance en génie électrique
2025/2026,MAINRELIA,Maintenance and reliability
2025/2026,MALINFPAR,Maladie infectueuse et parasitaire
2025/2026,MANAPPSAN,Maintenance des Appareils Sanitaire
2025/2026,MANUTECHN,Manufacturing technology
2025/2026,MARAPTRA1,Marketing appliqué au transport I 
2025/2026,MARAPTRA2,Marketing appliqué au transport II 
2025/2026,MARCOSBR1,Marginal Costing And The Break-Even Analysis I
2025/2026,MARCOSBR2,Marginal Costing And The Break-Even Analysis II
2025/2026,MARENTCUL,Marketing des entreprises culturelles   
2025/2026,MARIADM12,Maritime Administration I and II
2025/2026,MARIADMI1,Maritime Administration I
2025/2026,MARIADMI2,Maritime Administration II
2025/2026,MARININSU,Marine Insurance
2025/2026,MARITRANS,Maritime transport
2025/2026,MATECONST,Matériaux de construction
2025/2026,MATESCIE1,Materials science I
2025/2026,MATESCIE2,Materials Science II
2025/2026,MATETEXTI,Matériaux textile
2025/2026,MATHAPPLI,Mathématique appliquée 
2025/2026,MATHFINA1,Mathématiques financières I 
2025/2026,MATHFINA2,Mathématiques financières II 
2025/2026,MATHFINA3,Mathématiques financières III 
2025/2026,MATHFINA4,Mathématiques financières IV
2025/2026,MATHGENE1,Mathématiques générales I
2025/2026,MATHGENE2,Mathématiques générales II 
2025/2026,MATHMAAPP,Mathématique Appliqué
2025/2026,MATMATIC1,Mathematics I
2025/2026,MATMATIC2,Mathematics II
2025/2026,MATMATIC3,Mathematics III
2025/2026,MATMATIC4,Mathematics IV
2025/2026,MATMATICS,Mathematics
2025/2026,MATMATIQ1,Mathématiques I
2025/2026,MATMATIQ2,Mathématique II
2025/2026,MATMATIQ3,Mathématiques III
2025/2026,MATMATIQ4,Mathématiques IV
2025/2026,MATMATIQU,Mathématiques
2025/2026,MATMETALL,Matériaux métalliques
2025/2026,MEASUTECH,Measurement techniques
2025/2026,MECAFLUID,Mécanique des fluides
2025/2026,MECAGENE1,Mécanique générale I
2025/2026,MECAGENE2,Mécanique générale II
2025/2026,MECANSOLS,Mecanique Des Sols
2025/2026,MECFLUAER,Mécanique des fluides aérodynamiques 
2025/2026,MECFLUHYD,Mécanique des fluides hydrauliques 
2025/2026,MECMILCON,Mecanique Des Milieux Continus
2025/2026,MEDCOUPE2,Medecine Course in paediatric II
2025/2026,MEDECISCO,Médecine Scolaire
2025/2026,MEDECITRA,Médécine de travail
2025/2026,MEDEMEDIC,Médécine Médicale
2025/2026,MEDICENGL,Medical english
2025/2026,MEDICENTO,Medical Entomology
2025/2026,MEDICFREN,Medical French
2025/2026,MEDICMYCO,Medical Mycologie
2025/2026,MEDIMAGIG,MEDICAL IMAGING 
2025/2026,MEDIPSYCH,Medical Psychology
2025/2026,MEMOSEMIN,Mémoire et séminaire
2025/2026,MENTALHEA,Mental health
