codsem,Libsem,codniv,codfil1,libfil1,codfil2,libfil2,codfil3,libfil3,codfil4,libfil4,codfil5,libfil5,codfil6,libfil6,codfil7,libfil7,codfil8,libfil8,typjour,ordtypjour,fourche,ordfourche1,fourche1,valfil1,valfil2,valfil3,valfil4,valfil5,valfil6,valfil7,valfil8,lapage
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,08H-12H,01,08H-12H,M. DJONGOU,M. FOTSO,M. DJONGOU,M. FOTSO,M. WAFFO,Dr EKINLEH,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,08H-12H,02,-Matière,TECHNIQUE DE MESURE,Physics,TECHNIQUE DE MESURE,Physics,Biostatistics,Planning care,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,08H-12H,03,-Salle,ETA402,RDC02,ETA402,RDC02,ETA401,ETA204,ETA102,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,13H-17H,01,13H-17H,M. DJONGOU,M. FOTSO,M. DJONGOU,M. FOTSO,M. WAFFO,Dr EKINLEH,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,13H-17H,02,-Matière,TECHNIQUE DE MESURE,Physics,TECHNIQUE DE MESURE,Physics,Biostatistics,Planning care,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,13H-17H,03,-Salle,ETA402,RDC02,ETA402,RDC02,ETA401,ETA204,ETA102,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,08H-12H,01,08H-12H,M. MASSOG,M. WAFFO,M. MBA,M. WAFFO,M. NGOMSI,M. NGOMSI,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,08H-12H,02,-Matière,TECHNOLOGIE DE CONSTRUCTION,Mathematics II,Electrotechnique I,Mathematics II,TIC,TIC,Biologie cellulaire,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,08H-12H,03,-Salle,ETA102,ETA401,RDC03,ETA401,ETA204,ETA204,ETA402,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,13H-17H,01,13H-17H,M. NGAKO,M. WAFFO,M. MBA,M. WAFFO,,Mme TCHUENTE,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,13H-17H,02,-Matière,Chimie,Mathematics II,Electrotechnique I,Mathematics II,,EPIDEMIOLOGY,Biologie cellulaire,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,13H-17H,03,-Salle,RDC04,ETA401,RDC03,ETA401,,ETA203,ETA402,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mercredi,03,08H-12H,01,08H-12H,M. MASSOG,,M. TAMNE,M. WALVEDE,M. WAFFO,Dr EKINLEH,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mercredi,03,08H-12H,02,-Matière,TECHNOLOGIE DE CONSTRUCTION,,CLIMATISATION ET VENTILLATION,Signal Processing,Biostatistics,Planning care,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mercredi,03,08H-12H,03,-Salle,RDC04,,RDC03,ETA101,ETA203,ETA403,ETA103,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mercredi,03,13H-17H,01,13H-17H,M. MASSOG,,M. TAMNE,,M. WAFFO,M. NSOM,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mercredi,03,13H-17H,02,-Matière,TECHNOLOGIE DE CONSTRUCTION,,CLIMATISATION ET VENTILLATION,,Biostatistics,PARASITOLOGY,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mercredi,03,13H-17H,03,-Salle,RDC04,,RDC03,,ETA203,ETA101,ETA103,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Jeudi,04,08H-12H,01,08H-12H,M. GOMA,M. WAFFO,M. GOMA,M. WAFFO,,Dr EKINLEH,M. TINTCHOU,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Jeudi,04,08H-12H,02,-Matière,Mathématiques I,Mathematics II,Mathématiques I,Mathematics II,,Planning care,Anthropologie physiologique et sociologieque,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Jeudi,04,08H-12H,03,-Salle,RDC05,ETA401,RDC05,ETA402,,ETA403,ETA103,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Jeudi,04,13H-17H,01,13H-17H,M. GOMA,M. WAFFO,M. GOMA,M. WAFFO,,Dr EKINLEH,M. TINTCHOU,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Jeudi,04,13H-17H,02,-Matière,Mathématiques I,Mathematics II,Mathématiques I,Mathematics II,,Planning care,Anthropologie physiologique et sociologieque,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Jeudi,04,13H-17H,03,-Salle,RDC05,ETA401,RDC05,ETA402,,ETA403,ETA401,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Vendredi,05,08H-12H,01,08H-12H,M. GOMA,M. NDIFON BAH,M. NGAKO,M. WALVEDE,M. WAFFO,,M. TINTCHOU,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Vendredi,05,08H-12H,02,-Matière,Automatisme I  ,Geotechnical Engineering,Chimie,Signal Processing,Biostatistics,,Anthropologie physiologique et sociologieque,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Vendredi,05,08H-12H,03,-Salle,RDC02,RDC05,RDC02,ETA101,ETA402,,ETA401,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Vendredi,05,13H-17H,01,13H-17H,M. GOMA,M. NDIFON BAH,M. GOMA,M. WALVEDE,,Dr EKINLEH,M. TINTCHOU,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Vendredi,05,13H-17H,02,-Matière,Physiques,Geotechnical Engineering,Physiques,Signal Processing,,Planning care,Anthropologie physiologique et sociologieque,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Vendredi,05,13H-17H,03,-Salle,RDC02,RDC05,RDC02,ETA101,,ETA403,ETA401,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Samedi,06,08H-12H,01,08H-12H,M. MASSOG,M. NDIFON BAH,M. DJONGOU,,M. NSOM,M. NSOM,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Samedi,06,08H-12H,02,-Matière,ELECTRICITE GENERALE,Geotechnical Engineering,Transfert thermique,,Microbiology/bacteriologi,PARASITOLOGY,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Samedi,06,08H-12H,03,-Salle,ETA204,RDC05,RDC04,,ETA402,ETA101,ETA103,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Samedi,06,13H-17H,01,13H-17H,M. MASSOG,M. NDIFON BAH,M. TAMNE,,,M. NSOM,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Samedi,06,13H-17H,02,-Matière,TECHNOLOGIE DE CONSTRUCTION,Geotechnical Engineering,CLIMATISATION ET VENTILLATION,,,Microbiology/bacteriologi,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Samedi,06,13H-17H,03,-Salle,ETA303,RDC05,RDC03,,,ETA402,ETA103,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,08H-12H,01,08H-12H,M. WALVEDE,,M. WALVEDE,M. MBONDO,,,,Dr EKINLEH,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,08H-12H,02,-Matière,Servomechanism and robotics,,Servoing,Design graphique IV,,,,Nursing care to the bloc oparator,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,08H-12H,03,-Salle,RDC01,,RDC02,ETA201,,,,ETA204,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,13H-17H,01,13H-17H,M. WALVEDE,,M. WALVEDE,M. MBONDO,,,,Dr EKINLEH,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,13H-17H,02,-Matière,Servomechanism and robotics,,Servoing,Design graphique IV,,,,Nursing care to the bloc oparator,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Lundi,01,13H-17H,03,-Salle,RDC01,,RDC02,ETA201,,,,ETA204,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,08H-12H,01,08H-12H,,M. TCHIENTCHEU,,M. MBONDO,,M. YAMBOP,M. AMINOU,Mme TCHUENTE,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,08H-12H,02,-Matière,,Réseaux Informatiques et Téléinformatique II,,Design graphique IV,,Analysis and design drawing IV,"Capteurs,actionneurs et systèmes de bus de données",Obstrical Pathology,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,08H-12H,03,-Salle,,ETA303,,ETA201,,RDC05,ETA202,ETA204,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,13H-17H,01,13H-17H,,M. TCHIENTCHEU,,M. MBONDO,,M. YAMBOP,M. AMINOU,M. NGOMSI,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,13H-17H,02,-Matière,,Réseaux Informatiques et Téléinformatique II,,Design graphique IV,,Analysis and design drawing IV,"Capteurs,actionneurs et systèmes de bus de données",TIC,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mardi,02,13H-17H,03,-Salle,,ETA303,,ETA201,,RDC05,ETA202,ETA203,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,08H-12H,01,08H-12H,,M. BIBOUM,M. FOTSO,M. MBONDO,,M. YAMBOP,M. LADJOU,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,08H-12H,02,-Matière,,Gestion des projets informatique,Electrical installations and apparatus,Design graphique IV,,Analysis and design drawing IV,Système electronique des vehicules automonile,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,08H-12H,03,-Salle,,RDC02,ETA101,ETA201,,RDC05,ETA102,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,13H-17H,01,13H-17H,M. WALVEDE,M. BIBOUM,M. WALVEDE,,,M. YAMBOP,M. LADJOU,Dr EKINLEH,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,13H-17H,02,-Matière,Servomechanism and robotics,Gestion des projets informatique,Servoing,,,Analysis and design drawing IV,Système electronique des vehicules automonile,Nursing care to the bloc oparator,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,13H-17H,03,-Salle,RDC01,RDC02,RDC01,,,RDC05,ETA102,ETA101,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,08H-12H,01,08H-12H,,M. BIBOUM,,M. MBOND,,M. NGOMSI,M. LADJOU,Mme TCHUENTE,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,08H-12H,02,-Matière,,Programmation orientée objet,,Montage de projets,,Computer Programming,Système electronique des vehicules automonile,Obstrical Pathology,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,08H-12H,03,-Salle,,RDC01,,RDC02,,ETA204,ETA102,ETA403,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,13H-17H,01,13H-17H,,M. BIBOUM,,M. MBOND,,M. NGOMSI,M. LADJOU,Mme TCHUENTE,1
