codsem,Libsem,codniv,codfil1,libfil1,codfil2,libfil2,codfil3,libfil3,codfil4,libfil4,codfil5,libfil5,codfil6,libfil6,codfil7,libfil7,codfil8,libfil8,typjour,ordtypjour,fourche,ordfourche1,fourche1,valfil1,valfil2,valfil3,valfil4,valfil5,valfil6,valfil7,valfil8,lapage
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,13H-17H,02,-Matière,,Programmation orientée objet,,Montage de projets,,Computer Programming,Système electronique des vehicules automonile,Obstrical Pathology,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,13H-17H,03,-Salle,,RDC01,,RDC02,,ETA204,ETA102,ETA403,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,08H-12H,01,08H-12H,,M. BIBOUM,M. FOTSO,M. MBONDO,M. NGAKO,,M. LADJOU,M. DZELAFEN,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,08H-12H,02,-Matière,,Programmation pour terminaux mobiles,Electrical installations and apparatus,Atelier d’animation IV,TOXICOLOGIE,,Système electronique des vehicules automonile,HUMAN NUTRITION AND PATHOLOGY ASSOCIATED,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,08H-12H,03,-Salle,,RDC04,ETA101,ETA201,ETA402,,ETA102,ETA302,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,13H-17H,01,13H-17H,,M. BIBOUM,M. FOTSO,M. MBONDO,M. NGAKO,,,M. DZELAFEN,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,13H-17H,02,-Matière,,Programmation pour terminaux mobiles,Electrical installations and apparatus,Atelier d’animation IV,TOXICOLOGIE,,,HUMAN NUTRITION AND PATHOLOGY ASSOCIATED,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,13H-17H,03,-Salle,,RDC04,ETA101,ETA201,RDC05,,,ETA403,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Samedi,06,08H-12H,01,08H-12H,,,,,M. NGAKO,,M. AMINOU,M. DZELAFEN,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Samedi,06,08H-12H,02,-Matière,,,,,TOXICOLOGIE,,"Capteurs,actionneurs et systèmes de bus de données",HUMAN NUTRITION AND PATHOLOGY ASSOCIATED,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Samedi,06,08H-12H,03,-Salle,,,,,ETA402,,ETA202,ETA101,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Samedi,06,13H-17H,01,13H-17H,,,,,M. NGAKO,,M. AMINOU,M. DZELAFEN,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Samedi,06,13H-17H,02,-Matière,,,,,TOXICOLOGIE,,"Capteurs,actionneurs et systèmes de bus de données",HUMAN NUTRITION AND PATHOLOGY ASSOCIATED,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Samedi,06,13H-17H,03,-Salle,,,,,RDC05,,ETA202,ETA402,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Lundi,01,08H-12H,01,08H-12H,M. TATCHUM,M. TSASSE,,M. DOULIWE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Lundi,01,08H-12H,02,-Matière,Optique pour les Télécoms,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Lundi,01,08H-12H,02,-Salle,Optique pour les Télécoms,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Lundi,01,13H-17H,01,13H-17H,M. TATCHUM,M. TSASSE,,M. DOULIWE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Lundi,01,13H-17H,02,-Matière,Optique pour les Télécoms,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Lundi,01,13H-17H,02,-Salle,Optique pour les Télécoms,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mardi,02,08H-12H,01,08H-12H,M. KAMGA,M. GOMA,,M. TIMENE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mardi,02,08H-12H,02,-Matière,Analogique et numérique du signal,Mathématique Appliqué,,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mardi,02,08H-12H,02,-Salle,Analogique et numérique du signal,Mathématique Appliqué,,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mardi,02,13H-17H,01,13H-17H,M. KAMGA,M. GOMA,,M. TIMENE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mardi,02,13H-17H,02,-Matière,Analogique et numérique du signal,Mathématique Appliqué,,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mardi,02,13H-17H,02,-Salle,Analogique et numérique du signal,Mathématique Appliqué,,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mercredi,03,08H-12H,01,08H-12H,M. KAMGA,M. TSASSE,,M. DOULIWE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mercredi,03,08H-12H,02,-Matière,Base de données,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mercredi,03,08H-12H,02,-Salle,Base de données,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mercredi,03,13H-17H,01,13H-17H,M. KAMGA,M. TSASSE,,M. DOULIWE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mercredi,03,13H-17H,02,-Matière,Base de données,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Mercredi,03,13H-17H,02,-Salle,Base de données,Soins en chirurgie,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Jeudi,04,08H-12H,01,08H-12H,M. KAMGA,M. TATCHUM,M. HAPPY,M. TIMENE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Jeudi,04,08H-12H,02,-Matière,Base de données,BIO,Parasitologie clinique 1,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Jeudi,04,08H-12H,02,-Salle,Base de données,BIO,Parasitologie clinique 1,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Jeudi,04,13H-17H,01,13H-17H,M. KAMGA,M. TATCHUM,M. HAPPY,M. TIMENE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Jeudi,04,13H-17H,02,-Matière,Base de données,BIO,Parasitologie clinique 1,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Jeudi,04,13H-17H,02,-Salle,Base de données,BIO,Parasitologie clinique 1,Télédétection II,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Vendredi,05,08H-12H,01,08H-12H,M. KAMGA,M. TSASSE,M. HAPPY,M. DOULIWE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Vendredi,05,08H-12H,02,-Matière,Analogique et numérique du signal,Soins en chirurgie,Parasitologie clinique 1,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Vendredi,05,08H-12H,02,-Salle,Analogique et numérique du signal,Soins en chirurgie,Parasitologie clinique 1,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Vendredi,05,13H-17H,01,13H-17H,M. KAMGA,M. TSASSE,M. HAPPY,M. DOULIWE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Vendredi,05,13H-17H,02,-Matière,Analogique et numérique du signal,Soins en chirurgie,Parasitologie clinique 1,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Vendredi,05,13H-17H,02,-Salle,Analogique et numérique du signal,Soins en chirurgie,Parasitologie clinique 1,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Samedi,06,08H-12H,01,08H-12H,M. KAMGA,,,M. DOULIWE,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Samedi,06,08H-12H,02,-Matière,Analogique et numérique du signal,,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Samedi,06,08H-12H,02,-Salle,Analogique et numérique du signal,,,Photogrammetrie II ,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Samedi,06,13H-17H,01,13H-17H,,,,,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Samedi,06,13H-17H,02,-Matière,,,,,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,02,RS,Réseau et sécurité,SI,Soins Infirmiers,TL,Technicien de laboratoire,TOPO,Géomètre topographe,-,-,-,-,-,-,-,-,Samedi,06,13H-17H,02,-Salle,,,,,,,,,2
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Lundi,01,08H-12H,01,08H-12H,M. NGAKO,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Lundi,01,08H-12H,02,-Matière,TOXICOLOGIE,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Lundi,01,08H-12H,03,-Salle,RDC03,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Lundi,01,13H-17H,01,13H-17H,M. NGAKO,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Lundi,01,13H-17H,02,-Matière,TOXICOLOGIE,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Lundi,01,13H-17H,03,-Salle,RDC05,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mardi,02,08H-12H,01,08H-12H,,M. NGAKO,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mardi,02,08H-12H,02,-Matière,,Gestion Hospitalieres,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mardi,02,08H-12H,03,-Salle,,ETA402,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mardi,02,13H-17H,01,13H-17H,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mardi,02,13H-17H,02,-Matière,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mardi,02,13H-17H,03,-Salle,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mercredi,03,08H-12H,01,08H-12H,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mercredi,03,08H-12H,02,-Matière,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mercredi,03,08H-12H,03,-Salle,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mercredi,03,13H-17H,01,13H-17H,,M. NGAKO,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mercredi,03,13H-17H,02,-Matière,,Gestion Hospitalieres,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Mercredi,03,13H-17H,03,-Salle,,ETA103,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Jeudi,04,08H-12H,01,08H-12H,,M. NGAKO,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Jeudi,04,08H-12H,02,-Matière,,Gestion Hospitalieres,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Jeudi,04,08H-12H,03,-Salle,,ETA103,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Jeudi,04,13H-17H,01,13H-17H,,M. NGAKO,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Jeudi,04,13H-17H,02,-Matière,,Gestion Hospitalieres,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Jeudi,04,13H-17H,03,-Salle,,ETA401,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Vendredi,05,08H-12H,01,08H-12H,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Vendredi,05,08H-12H,02,-Matière,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Vendredi,05,08H-12H,03,-Salle,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Vendredi,05,13H-17H,01,13H-17H,,M. NGAKO,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Vendredi,05,13H-17H,02,-Matière,,Gestion Hospitalieres,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Vendredi,05,13H-17H,03,-Salle,,ETA401,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Samedi,06,08H-12H,01,08H-12H,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Samedi,06,08H-12H,02,-Matière,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Samedi,06,08H-12H,03,-Salle,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Samedi,06,13H-17H,01,13H-17H,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Samedi,06,13H-17H,02,-Matière,,,,,,,,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,03,SF,Sages Femmes,SI,Soins Infirmiers,-,-,-,-,-,-,-,-,-,-,-,-,Samedi,06,13H-17H,03,-Salle,,,,,,,,,1
